claim_id,system,passed,latency_ms,tokens,cost,termination_reason
CLM-2026-00001,agent,True,3131,5389,0.001009,completed
CLM-2026-00002,agent,True,2802,5402,0.001011,completed
CLM-2026-00003,agent,True,3016,5410,0.001013,completed
CLM-2026-00004,agent,True,25180,5370,0.000978,completed
CLM-2026-00005,agent,True,24554,5376,0.001003,completed
CLM-2026-00006,agent,True,34133,5379,0.000995,completed
CLM-2026-00007,agent,True,23366,5313,0.000964,completed
CLM-2026-00008,agent,True,17322,5449,0.001014,completed
CLM-2026-00009,agent,True,16557,5390,0.001014,completed
CLM-2026-00010,agent,True,11578,2680,0.000595,completed
CLM-2026-00001,workflow,True,790,325,0.00011174999999999999,completed
CLM-2026-00002,workflow,True,823,253,6.9e-05,completed
CLM-2026-00003,workflow,True,793,331,0.00011535,completed
CLM-2026-00004,workflow,True,760,302,9.84e-05,completed
CLM-2026-00005,workflow,True,667,317,0.0001065,completed
CLM-2026-00006,workflow,True,2790,308,0.00010109999999999999,completed
CLM-2026-00007,workflow,True,1803,319,0.00010815,completed
CLM-2026-00008,workflow,True,2821,329,0.0001119,completed
CLM-2026-00009,workflow,True,726,320,0.00010875,completed
CLM-2026-00010,workflow,True,3750,290,9.12e-05,completed
